product_name,price,review
Gaming Headset,81.14,It's alright. Meets basic requirements.
4K Webcam,105.34,Perfect quality! Everything I hoped for and more.
USB Flash Drive,13.47,The product works as expected. Nothing special.
Portable Phone Charger,33.11,The product works as expected. Nothing special.
USB Flash Drive,17.94,Standard item. Works but nothing special.
Car Phone Mount,24.91,The product works as expected. Nothing special.
Tablet Stand,60.28,Acceptable quality. Not amazing but not terrible either.
Wireless Charging Pad,27.76,Completely unreliable. Failed multiple times already.
Wireless Mouse,31.02,Exceptional product! Would definitely buy again.
Power Bank,42.18,Incredible! Best in its category by far.
USB Flash Drive,14.98,Extremely disappointed. Nothing works properly.
USB Flash Drive,21.72,Normal product. Gets the job done.
HDMI Cable,18.18,Brilliant product! Exceeds all expectations.
4K Webcam,175.03,Worst purchase ever! Do not recommend.
Wireless Mouse,49.7,Normal product. Gets the job done.
Noise Cancelling Earbuds,192.54,Fair product for the money. Nothing outstanding.
Desk Lamp,86.19,Ordinary quality. Serves its purpose.
Gaming Headset,92.51,Standard product. Nothing remarkable about it.
Laptop Stand,56.55,Very unhappy with this. Product is faulty.
Desk Lamp,63.41,It's okay for the price. Does what it's supposed to do.
4K Webcam,180.39,It's fine. Does what it needs to do.
Wireless Charging Pad,23.3,Cheaply made and unreliable. Major regret buying this.
Desk Lamp,48.87,It's fine. Does what it needs to do.
Gaming Headset,147.17,It's alright. Meets basic requirements.
Wireless Earbuds,134.2,Reasonable product. Meets expectations.
Car Phone Mount,55.39,It's alright. Meets basic requirements.
USB-C Hub,85.85,Amazing quality! Exceeded all my expectations.
Wireless Mouse,34.92,Basic functionality. No surprises here.
Power Bank,29.12,Adequate product. Nothing to write home about.
Wireless Keyboard,56.36,The product works as expected. Nothing special.
Laptop Backpack,104.85,Standard item. Works but nothing special.
Tablet Stand,33.33,Functional but not impressive. Just mediocre.
Bluetooth Speaker,87.81,Fair product for the money. Nothing outstanding.
Wireless Keyboard,99.76,Functional but not impressive. Just mediocre.
Gaming Headset,116.69,Ordinary quality. Serves its purpose.
Gaming Mechanical Keyboard,105.97,Standard item. Works but nothing special.
Tablet Stand,66.11,Terrible performance. Doesn't meet basic standards.
Smart Watch,321.0,Exceptional product! Would definitely buy again.
Bluetooth Speaker,66.33,Reasonable product. Meets expectations.
Portable Phone Charger,25.13,Average product. Neither good nor bad.
Tablet Stand,46.63,Brilliant product! Exceeds all expectations.
External Hard Drive,192.55,Satisfactory purchase. Not disappointed but not thrilled.
Power Bank,52.49,Standard item. Works but nothing special.
Tablet Stand,56.49,Works as advertised. Pretty standard stuff.
Screen Protector,29.88,Adequate product. Nothing to write home about.
Wireless Keyboard,73.37,Average product. Neither good nor bad.
Smart Watch,157.35,Reasonable product. Meets expectations.
4K Webcam,90.78,It's okay for the price. Does what it's supposed to do.
4K Webcam,97.4,Impressive! High quality and works flawlessly.
Portable Phone Charger,50.84,It performs okay. Middle of the road quality.
Gaming Mechanical Keyboard,171.66,Reasonable product. Meets expectations.
HDMI Cable,25.75,Basic functionality. No surprises here.
Gaming Mechanical Keyboard,96.03,Normal product. Gets the job done.
Car Phone Mount,33.49,Complete waste of money. Don't buy this!
Laptop Backpack,98.8,It's okay for the price. Does what it's supposed to do.
Screen Protector,24.01,Functional but not impressive. Just mediocre.
