product_name,price,review
"Wireless Bluetooth Headphones",89.99,"Great sound quality and comfortable to wear. Battery life is excellent!"
"Smart Fitness Tracker",129.99,"Love tracking my workouts but the heart rate monitor is sometimes inaccurate."
"Portable Phone Charger",24.99,"Very convenient for travel. Charges my phone quickly and multiple times."
"Wireless Mouse",39.99,"Good mouse but sometimes disconnects randomly. Build quality could be better."
"USB-C Hub",79.99,"Perfect for my laptop setup. All ports work great and feels sturdy."
"Noise Cancelling Earbuds",199.99,"Amazing noise cancellation! Perfect for flights and noisy environments."
"Gaming Mechanical Keyboard",149.99,"Keys feel great for gaming but it's quite loud for office use."
"4K Webcam",119.99,"Video quality is crystal clear. Great for video calls and streaming."
"Wireless Charging Pad",34.99,"Convenient charging but it's slower than wired charging."
"Bluetooth Speaker",69.99,"Sound quality is decent for the price but bass could be stronger."
"Smart Watch",249.99,"Feature-rich smartwatch with excellent battery life. Highly recommended!"
"Phone Case",19.99,"Provides good protection but the material feels cheap."
"Screen Protector",12.99,"Easy to install and provides good screen protection."
"Car Phone Mount",29.99,"Holds phone securely while driving. Very useful and well-built."
"Laptop Stand",45.99,"Great for improving posture while working. Sturdy and adjustable."
